% Index	Latitude	Longitude	Country code	Subcontinental Zone code	Locality	Provider Name	Provider URL
27	55.37911	-99.66797	CA	NAN	canada	cirrus9	http://www.datacentermap.com/cloud/cirrus9.html
28	36.87962	101.953125	CN	ASP	china	radixcloud	http://www.datacentermap.com/cloud/radixcloud.html
29	36.87962	101.953125	CN	ASP	china	Cloud Dedicated Hosting	http://www.datacentermap.com/cloud/cloud-dedicated-hosting.html
30	36.87962	101.953125	CN	ASP	china	chinanetcloud	http://www.datacentermap.com/cloud/chinanetcloud.html
31	9.750926	-83.80371	CR	NAS	costa-rica	Rack Lodge Cloud	http://www.datacentermap.com/cloud/rack-lodge-cloud.html
32	9.750926	-83.80371	CR	NAS	costa-rica	DataCenterCostaRica-Cloud	http://www.datacentermap.com/cloud/dccr-cloud.html
33	35.12641	33.42986	CY	EUE	cyprus	DatumcenterClouds	http://www.datacentermap.com/cloud/datumclouds.html
34	55.714733	10.327148	DK	EUW	denmark	nakana cloud	http://www.datacentermap.com/cloud/nakana-cloud.html
35	64.58618	26.279297	FI	EUE	finland	UpCloud Ltd	http://www.datacentermap.com/cloud/upcloud-ltd.html
36	64.58618	26.279297	FI	EUE	finland	Tenue vCloud	http://www.datacentermap.com/cloud/tenue-vcloud.html
37	47.27923	2.548828	FR	EUW	france	ntt europe ltd	http://www.datacentermap.com/cloud/ntt-europe-ltd.html
38	47.27923	2.548828	FR	EUW	france	ataraxie	http://www.datacentermap.com/cloud/ataraxie.html
39	47.27923	2.548828	FR	EUW	france	sfr isiad -cloud iaas	http://www.datacentermap.com/cloud/sfr-isiad--cloud-iaas.html
40	47.27923	2.548828	FR	EUW	france	interoute communications ltd	http://www.datacentermap.com/cloud/interoute-communications.html
41	47.27923	2.548828	FR	EUW	france	colt vcloud services	http://www.datacentermap.com/cloud/colt-vcloud-services.html
42	47.27923	2.548828	FR	EUW	france	Colt managed workspace	http://www.datacentermap.com/cloud/colt-managed-workspace.html
43	47.27923	2.548828	FR	EUW	france	euclyde cloud solutions	http://www.datacentermap.com/cloud/euclyde-cloud-solutions.html
44	47.27923	2.548828	FR	EUW	france	LINKBYNET	http://www.datacentermap.com/cloud/linkbynet.html
45	47.27923	2.548828	FR	EUW	france	Euclyde Cloud	http://www.datacentermap.com/cloud/euclyde-cloud.html
46	47.27923	2.548828	FR	EUW	france	cloudarchitek	http://www.datacentermap.com/cloud/cloudarchitek1.html
47	47.27923	2.548828	FR	EUW	france	cloudmaker	http://www.datacentermap.com/cloud/cloudmaker.html
48	47.27923	2.548828	FR	EUW	france	navlink cloud services	http://www.datacentermap.com/cloud/navlink-cloud-services.html
49	47.27923	2.548828	FR	EUW	france	tina	http://www.datacentermap.com/cloud/tina.html
50	47.27923	2.548828	FR	EUW	france	kheops organisation	http://www.datacentermap.com/cloud/kheops-organisation.html
51	47.27923	2.548828	FR	EUW	france	jn cloud	http://www.datacentermap.com/cloud/jn-cloud.html
52	47.27923	2.548828	FR	EUW	france	ahmed omari	http://www.datacentermap.com/cloud/sql-cloud.html
53	51.179344	10.50293	DE	EUW	germany	LeaseWeb	http://www.datacentermap.com/cloud/leaseweb.html
54	51.179344	10.50293	DE	EUW	germany	ccloud	http://www.datacentermap.com/cloud/ccloud.html
55	51.179344	10.50293	DE	EUW	germany	ScaleUp Cloud	http://www.datacentermap.com/cloud/scaleupcloud.html
56	51.179344	10.50293	DE	EUW	germany	cloud anetsisnet	http://www.datacentermap.com/cloud/cloud-anetsisnet.html
57	51.179344	10.50293	DE	EUW	germany	ntt europe ltd	http://www.datacentermap.com/cloud/ntt-europe-ltd.html
58	51.179344	10.50293	DE	EUW	germany	datacenter muc vmware cloud	http://www.datacentermap.com/cloud/datacenter-muc-vmware-cloud.html
59	51.179344	10.50293	DE	EUW	germany	interoute communications ltd	http://www.datacentermap.com/cloud/interoute-communications.html
